task_id,n_expected,n_got,n_missing,is_complete
0,10,10,0,True
1,10,10,0,True
2,6,4,2,False
3,10,10,0,True
4,10,10,0,True
5,6,4,2,False
6,10,10,0,True
7,10,10,0,True
8,6,4,2,False
9,10,10,0,True
10,10,10,0,True
11,6,4,2,False
12,10,10,0,True
13,10,10,0,True
14,6,4,2,False
15,10,10,0,True
16,10,10,0,True
17,6,4,2,False
18,10,10,0,True
19,10,10,0,True
20,6,4,2,False
21,10,10,0,True
22,10,10,0,True
23,6,4,2,False
24,10,10,0,True
25,10,10,0,True
26,6,4,2,False
27,10,10,0,True
28,10,10,0,True
29,6,4,2,False
