task_id,seed,alpha
1,0,2.8
1,0,2.9
2,0,3.0
2,0,3.1
2,0,3.2
2,0,3.3
2,0,3.4
2,0,3.5
4,1,2.8
4,1,2.9
5,1,3.0
5,1,3.1
5,1,3.2
5,1,3.3
5,1,3.4
5,1,3.5
7,2,2.8
7,2,2.9
8,2,3.0
8,2,3.1
8,2,3.2
8,2,3.3
8,2,3.4
8,2,3.5
10,3,2.8
10,3,2.9
11,3,3.0
11,3,3.1
11,3,3.2
11,3,3.3
11,3,3.4
11,3,3.5
13,4,2.8
13,4,2.9
14,4,3.0
14,4,3.1
14,4,3.2
14,4,3.3
14,4,3.4
14,4,3.5
16,5,2.8
16,5,2.9
17,5,3.0
17,5,3.1
17,5,3.2
17,5,3.3
17,5,3.4
17,5,3.5
19,6,2.8
19,6,2.9
20,6,3.0
20,6,3.1
20,6,3.2
20,6,3.3
20,6,3.4
20,6,3.5
22,7,2.8
22,7,2.9
23,7,3.0
23,7,3.1
23,7,3.2
23,7,3.3
23,7,3.4
23,7,3.5
25,8,2.8
25,8,2.9
26,8,3.0
26,8,3.1
26,8,3.2
26,8,3.3
26,8,3.4
26,8,3.5
28,9,2.8
28,9,2.9
29,9,3.0
29,9,3.1
29,9,3.2
29,9,3.3
29,9,3.4
29,9,3.5
