task_id,n_expected,n_got,n_missing,is_complete
0,10,10,0,True
1,10,8,2,False
2,6,0,6,False
3,10,10,0,True
4,10,8,2,False
5,6,0,6,False
6,10,10,0,True
7,10,8,2,False
8,6,0,6,False
9,10,10,0,True
10,10,8,2,False
11,6,0,6,False
12,10,10,0,True
13,10,8,2,False
14,6,0,6,False
15,10,10,0,True
16,10,8,2,False
17,6,0,6,False
18,10,10,0,True
19,10,8,2,False
20,6,0,6,False
21,10,10,0,True
22,10,8,2,False
23,6,0,6,False
24,10,10,0,True
25,10,8,2,False
26,6,0,6,False
27,10,10,0,True
28,10,8,2,False
29,6,0,6,False
