task_id,seed,alpha
0,0,1.0
0,0,1.05
0,0,1.1
0,0,1.15
0,0,1.2
0,0,1.25
0,0,1.3
0,0,1.35
0,0,1.4
0,0,1.45
0,0,1.5
0,0,1.55
0,0,1.6
0,0,1.65
0,0,1.7
0,0,1.75
0,0,1.8
0,0,1.85
0,0,1.9
0,0,1.95
0,0,2.0
0,0,2.05
0,0,2.1
0,0,2.15
0,0,2.2
0,0,2.25
0,0,2.3
1,0,2.35
1,0,2.4
1,0,2.45
1,0,2.5
1,0,2.55
1,0,2.6
1,0,2.65
1,0,2.7
1,0,2.75
1,0,2.8
1,0,2.85
1,0,2.9
1,0,2.95
1,0,3.0
1,0,3.05
1,0,3.1
1,0,3.15
1,0,3.2
1,0,3.25
1,0,3.3
1,0,3.35
1,0,3.4
1,0,3.45
1,0,3.5
1,0,3.55
1,0,3.6
2,1,1.0
2,1,1.05
2,1,1.1
2,1,1.15
2,1,1.2
2,1,1.25
2,1,1.3
2,1,1.35
2,1,1.4
2,1,1.45
2,1,1.5
2,1,1.55
2,1,1.6
2,1,1.65
2,1,1.7
2,1,1.75
2,1,1.8
2,1,1.85
2,1,1.9
2,1,1.95
2,1,2.0
2,1,2.05
2,1,2.1
2,1,2.15
2,1,2.2
2,1,2.25
2,1,2.3
3,1,2.35
3,1,2.4
3,1,2.45
3,1,2.5
3,1,2.55
3,1,2.6
3,1,2.65
3,1,2.7
3,1,2.75
3,1,2.8
3,1,2.85
3,1,2.9
3,1,2.95
3,1,3.0
3,1,3.05
3,1,3.1
3,1,3.15
3,1,3.2
3,1,3.25
3,1,3.3
3,1,3.35
3,1,3.4
3,1,3.45
3,1,3.5
3,1,3.55
3,1,3.6
4,2,1.0
4,2,1.05
4,2,1.1
4,2,1.15
4,2,1.2
4,2,1.25
4,2,1.3
4,2,1.35
4,2,1.4
4,2,1.45
4,2,1.5
4,2,1.55
4,2,1.6
4,2,1.65
4,2,1.7
4,2,1.75
4,2,1.8
4,2,1.85
4,2,1.9
4,2,1.95
4,2,2.0
4,2,2.05
4,2,2.1
4,2,2.15
4,2,2.2
4,2,2.25
4,2,2.3
5,2,2.35
5,2,2.4
5,2,2.45
5,2,2.5
5,2,2.55
5,2,2.6
5,2,2.65
5,2,2.7
5,2,2.75
5,2,2.8
5,2,2.85
5,2,2.9
5,2,2.95
5,2,3.0
5,2,3.05
5,2,3.1
5,2,3.15
5,2,3.2
5,2,3.25
5,2,3.3
5,2,3.35
5,2,3.4
5,2,3.45
5,2,3.5
5,2,3.55
5,2,3.6
6,3,1.0
6,3,1.05
6,3,1.1
6,3,1.15
6,3,1.2
6,3,1.25
6,3,1.3
6,3,1.35
6,3,1.4
6,3,1.45
6,3,1.5
6,3,1.55
6,3,1.6
6,3,1.65
6,3,1.7
6,3,1.75
6,3,1.8
6,3,1.85
6,3,1.9
6,3,1.95
6,3,2.0
6,3,2.05
6,3,2.1
6,3,2.15
6,3,2.2
6,3,2.25
6,3,2.3
7,3,2.35
7,3,2.4
7,3,2.45
7,3,2.5
7,3,2.55
7,3,2.6
7,3,2.65
7,3,2.7
7,3,2.75
7,3,2.8
7,3,2.85
7,3,2.9
7,3,2.95
7,3,3.0
7,3,3.05
7,3,3.1
7,3,3.15
7,3,3.2
7,3,3.25
7,3,3.3
7,3,3.35
7,3,3.4
7,3,3.45
7,3,3.5
7,3,3.55
7,3,3.6
8,4,1.0
8,4,1.05
8,4,1.1
8,4,1.15
8,4,1.2
8,4,1.25
8,4,1.3
8,4,1.35
8,4,1.4
8,4,1.45
8,4,1.5
8,4,1.55
8,4,1.6
8,4,1.65
8,4,1.7
8,4,1.75
8,4,1.8
8,4,1.85
8,4,1.9
8,4,1.95
8,4,2.0
8,4,2.05
8,4,2.1
8,4,2.15
8,4,2.2
8,4,2.25
8,4,2.3
9,4,2.35
9,4,2.4
9,4,2.45
9,4,2.5
9,4,2.55
9,4,2.6
9,4,2.65
9,4,2.7
9,4,2.75
9,4,2.8
9,4,2.85
9,4,2.9
9,4,2.95
9,4,3.0
9,4,3.05
9,4,3.1
9,4,3.15
9,4,3.2
9,4,3.25
9,4,3.3
9,4,3.35
9,4,3.4
9,4,3.45
9,4,3.5
9,4,3.55
9,4,3.6
10,5,1.0
10,5,1.05
10,5,1.1
10,5,1.15
10,5,1.2
10,5,1.25
10,5,1.3
10,5,1.35
10,5,1.4
10,5,1.45
10,5,1.5
10,5,1.55
10,5,1.6
10,5,1.65
10,5,1.7
10,5,1.75
10,5,1.8
10,5,1.85
10,5,1.9
10,5,1.95
10,5,2.0
10,5,2.05
10,5,2.1
10,5,2.15
10,5,2.2
10,5,2.25
10,5,2.3
11,5,2.35
11,5,2.4
11,5,2.45
11,5,2.5
11,5,2.55
11,5,2.6
11,5,2.65
11,5,2.7
11,5,2.75
11,5,2.8
11,5,2.85
11,5,2.9
11,5,2.95
11,5,3.0
11,5,3.05
11,5,3.1
11,5,3.15
11,5,3.2
11,5,3.25
11,5,3.3
11,5,3.35
11,5,3.4
11,5,3.45
11,5,3.5
11,5,3.55
11,5,3.6
12,6,1.0
12,6,1.05
12,6,1.1
12,6,1.15
12,6,1.2
12,6,1.25
12,6,1.3
12,6,1.35
12,6,1.4
12,6,1.45
12,6,1.5
12,6,1.55
12,6,1.6
12,6,1.65
12,6,1.7
12,6,1.75
12,6,1.8
12,6,1.85
12,6,1.9
12,6,1.95
12,6,2.0
12,6,2.05
12,6,2.1
12,6,2.15
12,6,2.2
12,6,2.25
12,6,2.3
13,6,2.35
13,6,2.4
13,6,2.45
13,6,2.5
13,6,2.55
13,6,2.6
13,6,2.65
13,6,2.7
13,6,2.75
13,6,2.8
13,6,2.85
13,6,2.9
13,6,2.95
13,6,3.0
13,6,3.05
13,6,3.1
13,6,3.15
13,6,3.2
13,6,3.25
13,6,3.3
13,6,3.35
13,6,3.4
13,6,3.45
13,6,3.5
13,6,3.55
13,6,3.6
14,7,1.0
14,7,1.05
14,7,1.1
14,7,1.15
14,7,1.2
14,7,1.25
14,7,1.3
14,7,1.35
14,7,1.4
14,7,1.45
14,7,1.5
14,7,1.55
14,7,1.6
14,7,1.65
14,7,1.7
14,7,1.75
14,7,1.8
14,7,1.85
14,7,1.9
14,7,1.95
14,7,2.0
14,7,2.05
14,7,2.1
14,7,2.15
14,7,2.2
14,7,2.25
14,7,2.3
15,7,2.35
15,7,2.4
15,7,2.45
15,7,2.5
15,7,2.55
15,7,2.6
15,7,2.65
15,7,2.7
15,7,2.75
15,7,2.8
15,7,2.85
15,7,2.9
15,7,2.95
15,7,3.0
15,7,3.05
15,7,3.1
15,7,3.15
15,7,3.2
15,7,3.25
15,7,3.3
15,7,3.35
15,7,3.4
15,7,3.45
15,7,3.5
15,7,3.55
15,7,3.6
16,8,1.0
16,8,1.05
16,8,1.1
16,8,1.15
16,8,1.2
16,8,1.25
16,8,1.3
16,8,1.35
16,8,1.4
16,8,1.45
16,8,1.5
16,8,1.55
16,8,1.6
16,8,1.65
16,8,1.7
16,8,1.75
16,8,1.8
16,8,1.85
16,8,1.9
16,8,1.95
16,8,2.0
16,8,2.05
16,8,2.1
16,8,2.15
16,8,2.2
16,8,2.25
16,8,2.3
17,8,2.35
17,8,2.4
17,8,2.45
17,8,2.5
17,8,2.55
17,8,2.6
17,8,2.65
17,8,2.7
17,8,2.75
17,8,2.8
17,8,2.85
17,8,2.9
17,8,2.95
17,8,3.0
17,8,3.05
17,8,3.1
17,8,3.15
17,8,3.2
17,8,3.25
17,8,3.3
17,8,3.35
17,8,3.4
17,8,3.45
17,8,3.5
17,8,3.55
17,8,3.6
18,9,1.0
18,9,1.05
18,9,1.1
18,9,1.15
18,9,1.2
18,9,1.25
18,9,1.3
18,9,1.35
18,9,1.4
18,9,1.45
18,9,1.5
18,9,1.55
18,9,1.6
18,9,1.65
18,9,1.7
18,9,1.75
18,9,1.8
18,9,1.85
18,9,1.9
18,9,1.95
18,9,2.0
18,9,2.05
18,9,2.1
18,9,2.15
18,9,2.2
18,9,2.25
18,9,2.3
19,9,2.35
19,9,2.4
19,9,2.45
19,9,2.5
19,9,2.55
19,9,2.6
19,9,2.65
19,9,2.7
19,9,2.75
19,9,2.8
19,9,2.85
19,9,2.9
19,9,2.95
19,9,3.0
19,9,3.05
19,9,3.1
19,9,3.15
19,9,3.2
19,9,3.25
19,9,3.3
19,9,3.35
19,9,3.4
19,9,3.45
19,9,3.5
19,9,3.55
19,9,3.6
